iso,refdate,fordate,sequence,node,shape,price
ERCOT,2019-05-02,2019-07-01,1,HB_NORTH,Off-peak,0.324000
ERCOT,2019-05-02,2019-07-01,1,HB_NORTH,PeakWD,0.179841
ERCOT,2019-05-02,2019-07-01,1,HB_NORTH,PeakWE,0.520000
ERCOT,2019-05-02,2019-08-01,1,HB_NORTH,Off-peak,0.550000
ERCOT,2019-05-02,2019-08-01,1,HB_NORTH,PeakWD,-0.092643
ERCOT,2019-05-02,2019-08-01,1,HB_NORTH,PeakWE,0.550000
ERCOT,2019-05-02,2019-09-01,1,HB_NORTH,Off-peak,0.380606
ERCOT,2019-05-02,2019-09-01,1,HB_NORTH,PeakWD,0.213433
ERCOT,2019-05-02,2019-09-01,1,HB_NORTH,PeakWE,0.617686
ERCOT,2019-05-02,2019-10-01,1,HB_NORTH,Off-peak,0.811928
ERCOT,2019-05-02,2019-10-01,1,HB_NORTH,PeakWD,1.356848
ERCOT,2019-05-02,2019-10-01,1,HB_NORTH,PeakWE,1.097271
ERCOT,2019-05-02,2019-11-01,1,HB_NORTH,Off-peak,0.435335
ERCOT,2019-05-02,2019-11-01,1,HB_NORTH,PeakWD,1.144024
ERCOT,2019-05-02,2019-11-01,1,HB_NORTH,PeakWE,0.170689
ERCOT,2019-05-02,2019-12-01,1,HB_NORTH,Off-peak,0.302355
ERCOT,2019-05-02,2019-12-01,1,HB_NORTH,PeakWD,-0.182103
ERCOT,2019-05-02,2019-12-01,1,HB_NORTH,PeakWE,-0.385251
ERCOT,2019-05-30,2020-01-01,2,HB_NORTH,Off-peak,0.319032
ERCOT,2019-05-30,2020-01-01,2,HB_NORTH,PeakWD,0.007771
ERCOT,2019-05-30,2020-01-01,2,HB_NORTH,PeakWE,0.000000
ERCOT,2019-05-30,2020-02-01,2,HB_NORTH,Off-peak,-0.052913
ERCOT,2019-05-30,2020-02-01,2,HB_NORTH,PeakWD,-0.350886
ERCOT,2019-05-30,2020-02-01,2,HB_NORTH,PeakWE,-0.200000
ERCOT,2019-05-30,2020-03-01,2,HB_NORTH,Off-peak,-0.228819
ERCOT,2019-05-30,2020-03-01,2,HB_NORTH,PeakWD,0.250614
ERCOT,2019-05-30,2020-03-01,2,HB_NORTH,PeakWE,-0.539157
ERCOT,2019-05-30,2020-04-01,2,HB_NORTH,Off-peak,0.840973
ERCOT,2019-05-30,2020-04-01,2,HB_NORTH,PeakWD,2.185455
ERCOT,2019-05-30,2020-04-01,2,HB_NORTH,PeakWE,1.723793
ERCOT,2019-05-30,2020-05-01,2,HB_NORTH,Off-peak,0.625365
ERCOT,2019-05-30,2020-05-01,2,HB_NORTH,PeakWD,2.197366
ERCOT,2019-05-30,2020-05-01,2,HB_NORTH,PeakWE,1.655096
ERCOT,2019-05-30,2020-06-01,2,HB_NORTH,Off-peak,1.093981
ERCOT,2019-05-30,2020-06-01,2,HB_NORTH,PeakWD,1.660896
ERCOT,2019-05-30,2020-06-01,2,HB_NORTH,PeakWE,1.769050
